ID,Name
nextjs,NextJs
writer,Writer
global_market_analysis,Global Market Analysis
crm,CRM
typescript,TypeScript
business_operations,Business Operations
budget_management,Budget Management
front_end_developer,Front End Developer
back_end_developer,Back End Developer
ui_ux_designer,UI/UX Designer
ckfu4fi9io6s71comlj0,Php
ckfu4fi9io6s71comljg,Laravel
ckfu4fi9io6s71comlk0,Python
ckfu4fi9io6s71comlkg,Django
ckfu4fi9io6s71comll0,Flask
ckfu4fi9io6s71comllg,Java
ckfu4fi9io6s71comlm0,Spring
ckfu4fi9io6s71comlmg,Docker
ckfu4fi9io6s71comln0,Mysql
ckfu4fi9io6s71comlng,Postgres
ckfu4fi9io6s71comlog,Leadership Coach
ckfu4fi9io6s71comlp0,Cirporate Coach
ckfu4fi9io6s71comlpg,Professional Development Coach
ckfu4fi9io6s71comlqg,Net
ckfu4fi9io6s71comlrg,Frontend(Wpf)
ckfu4fi9io6s71comls0,Backend(Api)
ckfu4fi9io6s71comlsg,Database
ckfu4fi9io6s71comlt0,"(Sql, Oracle)"
ckfu4fi9io6s71comltg,Xml
ckfu4fi9io6s71comlug,Analytics
ckfu4fi9io6s71comlv0,Strategy
ckfu4fi9io6s71comlvg,Sales Excellence
ckfu4fi9io6s71comm00,Gtm Planning
ckfu4fi9io6s71comm0g,Marketing Effectiveness
ckfu4fi9io6s71comm10,Business Intelligence
ckfu4fi9io6s71comm1g,Data Science
ckfu4fi9io6s71comm20,Actionable Insight Generation
ckfu4fi9io6s71comm2g,Data Driven Problem Solving
ckfu4fi9io6s71comm30,Market Research
ckfu4fi9io6s71comm3g,Customer Research
ckfu4fi9io6s71comm40,Sales Funnel Optimization
ckfu4fi9io6s71comm4g,Customer Success
ckfu4fi9io6s71comm5g,Creative Direction
ckfu4fi9io6s71comm60,Graphic Design
ckfu4fi9io6s71comm6g,Web Design
ckfu4fi9io6s71comm70,Social Media Marketing
ckfu4fi9io6s71comm7g,Brand Development
ckfu4fi9io6s71comm80,Digital Marketing
ckfu4fi9io6s71comm8g,Creative Strategy
ckfu4fi9io6s71comm90,Branding & Identity
ckfu4fi9io6s71comm9g,Concept Development
ckfu4fi9io6s71comma0,Corporate Identity
ckfu4fi9io6s71commb0,Excel
ckfu4fi9io6s71commc0,Stock Research
ckfu4fi9io6s71commcg,Financial Analysis Or Planning
ckfu4fi9io6s71commd0,Stock Trading
ckfu4fi9io6s71commdg,Technical Analysis
ckfu4fi9io6s71comme0,Fundamental Analysis
ckfu4fi9io6s71commeg,Power Point Presentations
ckfu4fi9io6s71commf0,Executive Assistant
ckfu4fi9io6s71commgg,Sql
ckfu4fi9io6s71commhg,Machine Learning
ckfu4fi9io6s71commig,Data Analysis
ckfu4fi9io6s71commjg,Independent
ckfu4fi9io6s71commk0,Accounting
ckfu4fi9io6s71commkg,Non-Profit
ckfu4fi9io6s71commm0,Financial Reporting
ckfu4fi9io6s71commmg,Revenue
ckfu4fi9io6s71commn0,Expense
ckfu4fi9io6s71commo0,Gaap
ckfu4fi9io6s71commp0,Interpersonal Skills
ckfu4fi9io6s71commpg,Good Communication Skills
ckfu4fi9io6s71commq0,Problem Solving
ckfu4fi9io6s71commqg,Work Ethics And Customer Service
ckfu4fi9io6s71commrg,Brand Development & Management
ckfu4fi9io6s71comms0,Marketing Strategy
ckfu4fi9io6s71commsg,Brand Marketing
ckfu4fi9io6s71commt0,Content Development
ckfu4fi9io6s71commtg,Experiential Marketing
ckfu4fi9io6s71commu0,Physical Branding
ckfu4fi9io6s71commvg,Custom Typography
ckfu4fi9io6s71comn00,Color Comprehension
ckfu4fi9io6s71comn0g,Branding Powerhouse
ckfu4fi9io6s71comn10,Product And Digital Design
ckfu4fi9io6s71comn1g,Design Language Comprehension
ckfu4fi9io6s71comn20,Chic Design
ckfu4fi9io6s71comn2g,Wordpress Php
ckfu4fi9io6s71comn30,Html5 & Css
ckfu4fi9io6s71comn3g,Attention To Detail
ckfu4fi9io6s71comn40,Customer Care
ckfu4fi9io6s71comn4g,Fraud Prevention And Detection
ckfu4fi9io6s71comn50,Moderation
ckfu4fi9io6s71comn5g,Salesforce
ckfu4fi9io6s71comn60,Customer Relations Management
ckfu4fi9io6s71comn6g,Clear Communication
ckfu4fi9io6s71comn7g,Administrative
ckfu4fi9io6s71comn8g,Customer Service
ckfu4fi9io6s71comn90,Data Organization
ckfu4fi9io6s71comn9g,Financial Services
ckfu4fi9io6s71comnag,Coaching
ckfu4fi9io6s71comnb0,Speaking
ckfu4fi9io6s71comnbg,Leadership Development
ckfu4fi9io6s71comnc0,Copywriting
ckfu4fi9io6s71comncg,Sales Funnels
ckfu4fi9io6s71comndg,Podcasting
ckfu4fi9io6s71comne0,Storytelling
ckfu4fi9io6s71comneg,Email Marketing
ckfu4fi9io6s71comnfg,Writing
ckfu4fi9io6s71comng0,Editing
ckfu4fi9io6s71comngg,Proofreading
ckfu4fi9io6s71comnh0,Press Releases
ckfu4fi9io6s71comnhg,Marketing
ckfu4fi9io6s71comni0,Pr
ckfu4fi9io6s71comnig,Web Content
ckfu4fi9io6s71comnjg,Newsletters
ckfu4fi9io6s71comnl0,Branding
ckfu4fi9io6s71comnlg,Logos
ckfu4fi9io6s71comnm0,Marketing Collateral
ckfu4fi9io6s71comnmg,Magazines
ckfu4fi9io6s71comnn0,Books
ckfu4fi9io6s71comnng,Websites
ckfu4fi9io6s71comno0,Packaging
ckfu4fi9io6s71comnog,Adobe Illustrator
ckfu4fi9io6s71comnp0,Photoshop
ckfu4fi9io6s71comnpg,Indesign
ckfu4fi9io6s71comnq0,Wordpress
ckfu4fi9io6s71comnrg,Website Development
ckfu4fi9io6s71comns0,Full Cycle Project Management
ckfu4fi9io6s71comnsg,Seo
ckfu4fi9io6s71comnt0,Ppc
ckfu4fi9io6s71comntg,Amazon Marketplace
ckfu4fi9io6s71comnv0,Art Direction
ckfu4fi9io6s71comnvg,Adobe Cc
ckfu4fi9io6s71como0g,Interface Design
ckfu4fi9io6s71como1g,Much More
ckfu4fi9io6s71como2g,Recruitment
ckfu4fi9io6s71como50,Social Media
ckfu4fi9io6s71como5g,Marketing Plans
ckfu4fi9io6s71como6g,Linkedin
ckfu4fi9io6s71como70,Facebook
ckfu4fi9io6s71como7g,Twittter
ckfu4fi9io6s71comoa0,Unit Tests
ckfu4fi9io6s71comob0,Angular
ckfu4fi9io6s71comobg,React
ckfu4fi9io6s71comoc0,Net Core
ckfu4fi9io6s71comocg,Net Framework
ckfu4fi9io6s71comod0,Razor Pages
ckfu4fi9io6s71comodg,Brand Strategy
ckfu4fi9io6s71comoe0,Positioning
ckfu4fi9io6s71comoeg,Consumer Research
ckfu4fi9io6s71comof0,Qualitative
ckfu4fi9io6s71comog0,Workshops
ckfu4fi9io6s71comogg,Creative Briefing
ckfu4fi9io6s71comoh0,Ideation
ckfu4fi9io6s71comoi0,Video Editing
ckfu4fi9io6s71comoj0,Video
ckfu4fi9io6s71comok0,Html
ckfu4fi9io6s71comokg,Css
ckfu4fi9io6s71comol0,React.js
ckfu4fi9io6s71comom0,Ts
ckfu4fi9io6s71comomg,Redux
ckfu4fi9io6s71comon0,Tailwind
ckfu4fi9io6s71comong,Next.js
ckfu4fi9io6s71comoo0,Grpahql
ckfu4fi9io6s71comop0,Google Ads
ckfu4fi9io6s71comoqg,Film Production
ckfu4fi9io6s71comorg,Photography
ckfu4fi9io6s71comotg,Financial Analysis
ckfu4fi9io6s71comou0,Project Managment
ckfu4fi9io6s71comoug,Br
ckfu4fi9io6s71comov0,Integrated Marketing
ckfu4fi9io6s71comovg,B2b Marketing
ckfu4fi9io6s71comp00,Content Marketing
ckfu4fi9io6s71comp0g,Partnerships
ckfu4fi9io6s71comp1g,Product Marketing
ckfu4fi9io6s71comp2g,Media
ckfu4fi9io6s71comp3g,Adtech
ckfu4fi9io6s71comp40,Martech
ckfu4fi9io6s71comp4g,Organizational Development
ckfu4fi9io6s71comp60,P&L
ckfu4fi9io6s71comp6g,Strategic Planning
ckfu4fi9io6s71comp7g,Growth Hacking
ckfu4fi9io6s71comp8g,Managing Teams
ckfu4fi9io6s71comp9g,Coaching: Leadership Development
ckfu4fi9io6s71compa0,Human Resources
ckfu4fi9io6s71compag,Talent Management
ckfu4fi9io6s71compb0,Talent Development
ckfu4fi9io6s71compc0,Conflict Resolution
ckfu4fi9io6s71compd0,Product Leadership
ckfu4fi9io6s71compdg,Communication
ckfu4fi9io6s71compeg,Roadmap Development
ckfu4fi9io6s71compfg,Product Management
ckfu4fi9io6s71compg0,Startups
ckfu4fi9io6s71comph0,Javascript
ckfu4fi9io6s71comphg,Node.js
ckfu4fi9io6s71compig,Dbms
ckfu4fi9io6s71compj0,Jquery
ckfu4fi9io6s71compjg,Mongo
ckfu4fi9io6s71compm0,Social
ckfu4fi9io6s71compmg,Leadership
ckfu4fi9io6s71compog,Headhunting
ckfu4fi9io6s71compp0,Cv Advice
ckfu4fi9io6s71comppg,Interview
ckfu4fi9io6s71compq0,Organizational Research
ckfu4fi9io6s71compr0,Microsoft Office
ckfu4fi9io6s71compsg,It Recruitment
ckfu4fi9io6s71comptg,Sales. Customer Service
ckfu4fi9io6s71compu0,Google Suite
ckfu4fi9io6s71compug,Team Worker
ckfu4fi9io6s71compv0,Good Listener
ckfu4fi9io6s71compvg,Critical Thinker
ckfu4fi9io6s71comq10,Digital Innovation
ckfu4fi9io6s71comq1g,Demand Generation
ckfu4fi9io6s71comq20,Content Messaging
ckfu4fi9io6s71comq2g,Web Marketing
ckfu4fi9io6s71comq30,Customer Marketing
